Disease,Symptoms,Specialist
Fabry Disease,"episodes of pain, particularly in the hands and feet,clusters of small, dark red spots on the skin called angiokeratomas,a decreased ability to sweat (hypohidrosis),cloudiness of the cornea",Nephrologist / Cardiologist / Geneticist
Tay-Sachs Disease,"loss of motor skills,exaggerated startle reaction to loud noises,seizures,vision and hearing loss,'cherry-red' spot in the eyes",Pediatric Neurologist / Geneticist
Neurofibromatosis,"flat, light brown spots on the skin (cafe-au-lait spots),freckling in the armpits or groin area,tiny bumps on the iris of your eye (Lisch nodules),soft, pea-sized bumps on or under the skin (neurofibromas)",Neurologist / Geneticist
Tuberous Sclerosis,"skin abnormalities,seizures,cognitive disabilities,behavioral problems,kidney problems",Neurologist / Geneticist
Retinoblastoma,"a white color in the center circle of the eye (pupil) when light is shone in the eye,eyes that appear to be looking in different directions,eye redness,eye swelling",Ophthalmic Oncologist
Wilms' Tumor,"an abdominal mass you can feel,abdominal swelling,abdominal pain",Pediatric Oncologist
Acute Lymphoblastic Leukemia (ALL),"bleeding from the gums,bone pain,fever,frequent infections,frequent or severe nosebleeds,lumps caused by swollen lymph nodes",Pediatric Oncologist / Hematologist
Acute Myeloid Leukemia (AML),"fever,bone pain,lethargy and fatigue,shortness of breath,pale skin,frequent infections",Hematologist / Oncologist
Chronic Lymphocytic Leukemia (CLL),"enlarged, but painless, lymph nodes,fatigue,fever,pain in the upper left portion of the abdomen,night sweats,weight loss",Hematologist / Oncologist
Chronic Myeloid Leukemia (CML),"easy bleeding,feeling run-down or tired,fever,weight loss without trying,loss of appetite,pain or a feeling of fullness below the ribs on the left side",Hematologist / Oncologist
Multiple Myeloma,"bone pain, especially in your spine or chest,nausea,constipation,loss of appetite,mental fogginess or confusion,fatigue",Hematologist / Oncologist
Waldenstrom Macroglobulinemia,"easy bruising or bleeding,fatigue,fever,headaches,shortness of breath,vision problems",Hematologist / Oncologist
Hairy Cell Leukemia,"a feeling of fullness in your abdomen that makes it uncomfortable to eat,fatigue,easy bruising,recurrent infections,weakness",Hematologist / Oncologist
Hodgkin's Lymphoma,"painless swelling of lymph nodes in your neck, armpits or groin,persistent fatigue,fever,night sweats,unexplained weight loss",Hematologist / Oncologist
Non-Hodgkin's Lymphoma,"swollen lymph nodes in your neck, armpits or groin,abdominal pain or swelling,chest pain, coughing or trouble breathing,persistent fatigue,fever",Hematologist / Oncologist
Asbestosis,"shortness of breath,a persistent, dry cough,loss of appetite with weight loss,clubbing of the fingertips and toes,chest tightness or pain",Pulmonologist
Silicosis,"cough,fever,shortness of breath,fatigue,unexplained weight loss",Pulmonologist
Byssinosis (Brown Lung Disease),"chest tightness,coughing,wheezing,shortness of breath",Pulmonologist
Hypersensitivity Pneumonitis,"chills,fever,cough,shortness of breath,chest tightness",Pulmonologist / Allergist
Legionnaires' Disease,"headache,muscle pain,chills,fever that may be 104 F (40 C) or higher,cough,shortness of breath,chest pain",Infectious Disease Specialist / Pulmonologist
Psittacosis (Parrot Fever),"fever and chills,nausea and vomiting,muscle and joint pain,headache,fatigue,a dry cough",Infectious Disease Specialist
Q Fever,"high fever,severe headache,fatigue,chills or sweats,muscle aches,nausea, vomiting or diarrhea",Infectious Disease Specialist
Rocky Mountain Spotted Fever,"high fever,chills,severe headache,rash,muscle aches,nausea and vomiting",Infectious Disease Specialist
Typhoid Fever,"fever that starts low and increases daily,headache,weakness and fatigue,muscle aches,sweating,dry cough",Infectious Disease Specialist
Cholera,"diarrhea,nausea and vomiting,dehydration,muscle cramps",Infectious Disease Specialist
Botulism,"difficulty swallowing or speaking,dry mouth,facial weakness on both sides of the face,blurred or double vision,drooping eyelids,trouble breathing",Neurologist / Infectious Disease Specialist
Anthrax,"a group of small blisters or bumps that may itch,swelling around the sore,a painless skin sore (ulcer) with a black center,fever and chills,chest discomfort,shortness of breath",Infectious Disease Specialist
Smallpox,"high fever,head and body aches,vomiting,a rash that spreads and progresses to raised bumps and pus-filled blisters",Infectious Disease Specialist
Yellow Fever,"fever,headache,muscle aches, particularly in your back and knees,sensitivity to light,nausea, vomiting or both,loss of appetite",Infectious Disease Specialist
Zika Virus,"mild fever,rash,joint pain,conjunctivitis (red eyes),muscle pain,headache",Infectious Disease Specialist / General Physician
Chikungunya,"fever and joint pain,headache,muscle pain,joint swelling,rash",Infectious Disease Specialist / Rheumatologist
West Nile Virus,"fever,headache,body aches,vomiting,diarrhea,rash",Infectious Disease Specialist / Neurologist
Hantavirus Pulmonary Syndrome,"fever,chills,muscle aches,headaches,dizziness,nausea, vomiting, diarrhea, abdominal pain",Infectious Disease Specialist / Pulmonologist
Ebola Virus Disease,"fever,severe headache,muscle pain,weakness,fatigue,diarrhea,vomiting,abdominal (stomach) pain,unexplained hemorrhage (bleeding or bruising)",Infectious Disease Specialist
Marburg Virus Disease,"fever,chills,headache,myalgia,maculopapular rash,nausea,vomiting,chest pain,sore throat",Infectious Disease Specialist
Lassa Fever,"fever,weakness,headaches,sore throat,muscle pain,chest pain,nausea,vomiting,diarrhea,cough",Infectious Disease Specialist
Rift Valley Fever,"fever,weakness,back pain,dizziness,eye disease,encephalitis,hemorrhagic fever",Infectious Disease Specialist
Diphtheria,"a thick, gray membrane covering your throat and tonsils,a sore throat and hoarseness,swollen glands (enlarged lymph nodes) in your neck,difficulty breathing or rapid breathing,nasal discharge",Infectious Disease Specialist / ENT Specialist
Whooping Cough (Pertussis),"runny nose,nasal congestion,red, watery eyes,fever,cough,a 'whoop' sound during the next breath of air",Infectious Disease Specialist / Pediatrician
Rubella (German Measles),"mild fever,headache,stuffy or runny nose,inflamed, red eyes,enlarged, tender lymph nodes,a fine, pink rash",Pediatrician / General Physician
Mumps,"puffy cheeks and a tender, swollen jaw,fever,headache,muscle aches,weakness and fatigue,loss of appetite",Pediatrician / General Physician
Polio,"fever,sore throat,headache,vomiting,fatigue,back pain or stiffness,neck pain or stiffness,pain or stiffness in the arms or legs",Neurologist / Infectious Disease Specialist
Scabies,"itching, often severe and usually worse at night,thin, irregular burrow tracks made up of tiny blisters or bumps on your skin",Dermatologist
Pediculosis (Lice),"intense itching on the scalp, body or in the genital area,tickling feeling from movement of hair,lice on your scalp, body, clothing, or other body hair,lice eggs (nits) on hair shafts",Dermatologist / General Physician
Giardiasis,"watery, sometimes foul-smelling diarrhea,fatigue,abdominal cramps and bloating,gas,nausea",Gastroenterologist / Infectious Disease Specialist
Amebiasis,"loose stools,stomach cramping,stomach pain",Gastroenterologist / Infectious Disease Specialist
Cryptosporidiosis,"watery diarrhea,dehydration,weight loss,stomach cramps or pain,fever,nausea,vomiting",Gastroenterologist / Infectious Disease Specialist
Trichinosis,"diarrhea,abdominal pain,fatigue,nausea and vomiting,fever,muscle pain and tenderness,headache",Infectious Disease Specialist
Tapeworm Infection,"nausea,weakness,loss of appetite,abdominal pain,diarrhea,dizziness,salt craving",Infectious Disease Specialist / Gastroenterologist
Hookworm Infection,"abdominal pain,diarrhea,loss of appetite,weight loss,fatigue,anemia",Infectious Disease Specialist / Gastroenterologist
Ascariasis (Roundworm Infection),"abdominal pain,nausea and vomiting,diarrhea or bloody stools,fatigue,visible worms in stool",Infectious Disease Specialist / Gastroenterologist
Pinworm Infection,"itching of the anal or vaginal area,insomnia, irritability and restlessness,intermittent abdominal pain and nausea",Pediatrician / General Physician
Filariasis (Elephantiasis),"swelling of the limbs or genitals,fever,chills,general feeling of illness",Infectious Disease Specialist
Schistosomiasis,"rash or itchy skin,fever,chills,cough,muscle aches",Infectious Disease Specialist
Leishmaniasis,"skin sores,fever,weight loss,enlargement of the spleen and liver,abnormal blood counts",Infectious Disease Specialist / Dermatologist
Chagas Disease,"fever,fatigue,body aches,headache,rash,loss of appetite,diarrhea,vomiting,swelling at the infection site",Infectious Disease Specialist / Cardiologist
African Trypanosomiasis (Sleeping Sickness),"fever,severe headaches,irritability,extreme fatigue,swollen lymph nodes,aching muscles and joints",Infectious Disease Specialist / Neurologist
Keratoconus,"blurred or distorted vision,increased sensitivity to bright light and glare,a need for frequent changes in eyeglass prescriptions,sudden worsening or clouding of vision",Ophthalmologist
Retinal Detachment,"the sudden appearance of many floaters,flashes of light in one or both eyes (photopsia),a curtain-like shadow over your visual field",Ophthalmologist / Retinal Specialist
Strabismus (Crossed Eyes),"eyes that don't look in the same direction at the same time,eyes that don't move together,squinting or closing one eye in bright sunlight,head tilting,double vision",Pediatric Ophthalmologist / Ophthalmologist
Amblyopia (Lazy Eye),"an eye that wanders inward or outward,eyes that appear to not work together,poor depth perception,squinting or shutting an eye,head tilting",Pediatric Ophthalmologist / Ophthalmologist
Color Blindness,"trouble seeing colors and the brightness of colors in the usual way,inability to tell the difference between shades of the same or similar colors",Ophthalmologist
Night Blindness (Nyctalopia),"difficulty seeing in dim light,trouble adapting to changes in light,poor vision in darkness",Ophthalmologist
Presbyopia,"a tendency to hold reading material farther away to make the letters clearer,blurred vision at normal reading distance,eyestrain or headaches after reading or doing close-up work",Ophthalmologist / Optometrist
Myopia (Nearsightedness),"blurry vision when looking at distant objects,the need to squint or partially close the eyelids to see clearly,headaches caused by eyestrain",Ophthalmologist / Optometrist
Hyperopia (Farsightedness),"nearby objects may appear blurry,you need to squint to see clearly,you have eyestrain, including burning eyes, and aching in or around the eyes",Ophthalmologist / Optometrist
Astigmatism,"blurred or distorted vision,eyestrain or discomfort,headaches,difficulty with night vision,squinting",Ophthalmologist / Optometrist
